X,Y,Name,Description
-87.6239195,41.8769875,Van Buren Street,"Line: Electric, South Shore"
-87.6229607,41.8781948,Van Buren Street,"Line: Electric, South Shore"
-87.624464,41.8781469,Van Buren Street,"Line: Electric, South Shore"
-87.6244587,41.8784085,Van Buren Street,"Line: Electric, South Shore"
-87.6219964,41.869399,Museum Campus,Line: Electric
-87.6216853,41.869395,Museum Campus,Line: Electric
-87.6179436,41.8580031,18th Street,Line: Electric
-87.6163745,41.8514822,McCormick Place,Line: Electric
-87.6139739,41.8445731,27th Street,Line: Electric
-87.5913763,41.8098002,47th Street,Line: Electric
-87.5875139,41.8023786,51st/53rd,Line: Electric
-87.587369100000018,41.8024106,51st/53rd,Line: Electric
-87.586897,41.7996933,51st/53rd,Line: Electric
-87.5872189,41.7951302,55th-56th-57th,"Line: Electric, South Shore"
-87.5870794,41.7951382,55th-56th-57th,"Line: Electric, South Shore"
-87.5876695,41.7932145,55th-56th-57th,"Line: Electric, South Shore"
-87.5875112,41.7932365,55th-56th-57th,"Line: Electric, South Shore"
-87.5880128,41.7916767,55th-56th-57th,"Line: Electric, South Shore"
-87.5878948,41.7916727,55th-56th-57th,"Line: Electric, South Shore"
-87.5888523,41.787995,59th,Line: Electric
-87.5887236,41.787999,59th,Line: Electric
-87.5905824,41.7804169,63rd,Line: Electric
-87.5904214,41.7804349,63rd,Line: Electric
-87.5909337,41.7788588,63rd,Line: Electric
-87.5907916,41.778862800000013,63rd,Line: Electric
-87.5921729,41.7733921,67th,Line: Electric
-87.5920388,41.7733941,67th,Line: Electric
-87.5893351,41.7660324,Stony Island,Line: Electric
-87.5865202,41.7660634,Stony Island,Line: Electric
-87.5782214,41.7661414,Bryn Mawr,Line: Electric
-87.5764431,41.7661614,Bryn Mawr,Line: Electric
-87.5663406,41.7658893,South Shore,Line: Electric
-87.5651161,41.7645779,South Shore,Line: Electric
-87.5601044,41.7590289,Windsor Park,Line: Electric
-87.5583006,41.7573643,Windsor Park,Line: Electric
-87.5542559,41.7536105,Cheltenham,Line: Electric
-87.5525755,41.7520418,Cheltenham,Line: Electric
-87.5515884,41.7464257,83rd,Line: Electric
-87.5515616,41.7447586,83rd,Line: Electric
-87.5481659,41.7375357,87th,Line: Electric
-87.5477649,41.7265798,South Chicago,Line: Electric
-87.5478172,41.7281832,South Chicago,Line: Electric
-87.5953996,41.7588359,75th,Line: Electric
-87.5971243,41.7512724,79th,Line: Electric
-87.5987712,41.7441222,83rd,Line: Electric
-87.6004207,41.7368853,87th,Line: Electric
-87.602081,41.7295634,91st,Line: Electric
-87.6038486,41.7219044,95th,Line: Electric
-87.6072067,41.7073084,103rd,Line: Electric
-87.6088777,41.699969200000012,107th,Line: Electric
-87.6105434,41.6926471,111th,Line: Electric
-87.612375300000011,41.6856287,Kensington,Line: Electric
-87.6205641,41.6744655,State St,Line: Electric
-87.6217188,41.6744855,State St,Line: Electric
-87.6313184,41.6743613,Stewart Ridge,Line: Electric
-87.632048,41.6743353,Stewart Ridge,Line: Electric
-87.6419869,41.674159,West Pullman,Line: Electric
-87.6441877,41.6741359,West Pullman,Line: Electric
-87.651899,41.6740408,Racine,Line: Electric
-87.6607355,41.6692233,Ashland,Line: Electric
-87.6685676,41.6624618,Burr Oak,Line: Electric
-87.6763581,41.6556194,Blue Island,Line: Electric
-87.542442100000017,41.6454262,Hegewisch,Line: South Shore
-87.5450224,41.6474185,Hegewisch,Line: South Shore
-87.6754005,42.0094187,Rogers Park,Line: UP-North
-87.6754582,42.009058,Rogers Park,Line: UP-North
-87.6756178,42.0090451,Rogers Park,Line: UP-North
-87.6756339,42.0100944,Rogers Park,Line: UP-North
-87.6754917,42.0100954,Rogers Park,Line: UP-North
-87.6749057,41.9909003,Peterson Avenue,Line: UP-North
-87.6751578,41.9909203,Peterson Avenue,Line: UP-North
-87.6742834,41.9671247,Ravenswood,Line: UP-North
-87.6745087,41.9671327,Ravenswood,Line: UP-North
-87.6685461,41.9175312,Clybourn,"Line: UP-North, UP-Northwest"
-87.6679453,41.917325600000012,Clybourn,"Line: UP-North, UP-Northwest"
-87.6680312,41.9167967,Clybourn,"Line: UP-North, UP-Northwest"
-87.7298963,41.9523363,Irving Park,Line: UP-Northwest
-87.7310483,41.9529956,Irving Park,Line: UP-Northwest
-87.7312414,41.9534902,Irving Park,Line: UP-Northwest
-87.7634454,41.9717733,Jefferson Park,Line: UP-Northwest
-87.7615866,41.9702557,Jefferson Park,Line: UP-Northwest
-87.7623591,41.9706386,Jefferson Park,Line: UP-Northwest
-87.7780071,41.9799149,Gladstone Park,Line: UP-Northwest
-87.7781546,41.9796407,Gladstone Park,Line: UP-Northwest
-87.7988881,41.9918134,Norwood Park,Line: UP-Northwest
-87.7994701,41.9919718,Norwood Park,Line: UP-Northwest
-87.799564,41.9918951,Norwood Park,Line: UP-Northwest
-87.8309579,42.0096589,Park Ridge,Line: UP-Northwest
-87.8308761,42.0097446,Park Ridge,Line: UP-Northwest
-87.8318873,42.0101123,Park Ridge,Line: UP-Northwest
-87.8315011,42.0102139,Park Ridge,Line: UP-Northwest
-87.8332593,42.0109732,Park Ridge,Line: UP-Northwest
-87.8171486,42.0019815,Edison Park,Line: UP-Northwest
-87.817229,42.0019018,Edison Park,Line: UP-Northwest
-87.8179398,42.0026203,Edison Park,Line: UP-Northwest
-87.765626,41.9974807,Edgebrook,Line: MD-North
-87.7655013,41.997496700000013,Edgebrook,Line: MD-North
-87.7660257,41.9982043,Edgebrook,Line: MD-North
-87.7663663,41.9988461,Edgebrook,Line: MD-North
-87.766190600000016,41.9988651,Edgebrook,Line: MD-North
-87.7659734,41.9984525,Edgebrook,Line: MD-North
-87.7656703,41.9978564,Edgebrook,Line: MD-North
-87.7553733,41.9777196,Forest Glen,Line: MD-North
-87.7552915,41.977892,Forest Glen,Line: MD-North
-87.7556026,41.9786428,Forest Glen,Line: MD-North
-87.7558695,41.9789937,Forest Glen,Line: MD-North
-87.7462403,41.960625,Mayfair,Line: MD-North
-87.74659170000001,41.960616,Mayfair,Line: MD-North
-87.7461612,41.95993090000001,Mayfair,Line: MD-North
-87.7405755,41.9491117,Grayland,Line: MD-North
-87.7400538,41.9486878,Grayland,Line: MD-North
-87.7401048,41.9481442,Grayland,Line: MD-North
-87.7278833,41.9246071,Healy,Line: MD-North
-87.7277197,41.924617,Healy,Line: MD-North
-87.6880136,41.889056,Western,"Line: MD-North, MD-West, NCS"
-87.688316700000016,41.8892347,Western,"Line: MD-North, MD-West, NCS"
-87.7458474,41.9145174,Grand/Cicero,Line: MD-West
-87.746172,41.9145533,Grand/Cicero,Line: MD-West
-87.7461666,41.9143617,Grand/Cicero,Line: MD-West
-87.745834,41.9143198,Grand/Cicero,Line: MD-West
-87.7661021,41.9168306,Hanson Park,Line: MD-West
-87.767057,41.9168206,Hanson Park,Line: MD-West
-87.7864373,41.9166101,Galewood,Line: MD-West
-87.7853617,41.9164953,Galewood,Line: MD-West
-87.7853684,41.9163636,Galewood,Line: MD-West
-87.7949774,41.919523,Mars,Line: MD-West
-87.7949721,41.9193573,Mars,Line: MD-West
-87.7943377,41.9190709,Mars,Line: MD-West
-87.800834,41.921485800000013,Mont Clare,Line: MD-West
-87.800826,41.921658400000013,Mont Clare,Line:
-87.8013544,41.921857,Mont Clare,Line: MD-West
-87.802365600000016,41.9222222,Mont Clare,Line: MD-West
-87.8023696,41.9220466,Mont Clare,Line: MD-West
-87.8137448,41.9247837,Elmwood Park,Line: MD-West
-87.813765,41.924651,Elmwood Park,Line: MD-West
-87.8149679,41.9247747,Elmwood Park,Line: MD-West
-87.815948300000017,41.92525160000001,Elmwood Park,Line: MD-West
-87.8159872,41.9251159,Elmwood Park,Line: MD-West
-87.8360206,41.9309299,River Grove,"Line: MD-West, NCS"
-87.835979,41.9308261,River Grove,"Line: MD-West, NCS"
-87.8365195,41.9310875,River Grove,"Line: MD-West, NCS"
-87.8602543,41.9386877,Franklin Park,Line: NCS
-87.8704146,41.9624798,Schiller Park,Line: NCS
-87.8739658,41.9761962,Rosemont,Line: NCS
-87.8805842,41.9950837,O'Hare Transfer,Line: NCS
-87.7064779,41.8882493,Kedzie,Line: UP-West
-87.802265,41.8871591,Oak Park,Line: UP-West
-87.800881,41.887185,Oak Park,Line: UP-West
-87.8033593,41.8871031,Oak Park,Line: UP-West
-87.8033432,41.8868136,Oak Park,Line: UP-West
-87.6468524,41.8604223,Halsted,Line: BNSF
-87.6468632,41.8603044,Halsted,Line: BNSF
-87.685605,41.8579552,Western,Line: BNSF
-87.6859751,41.8574897,Western,Line: BNSF
-87.7443856,41.8445611,Cicero,Line: BNSF
-87.7443615,41.8443293,Cicero,Line: BNSF
-87.8099348,41.7947883,Summit,Line: Heritage Corridor
-87.8091234,41.7952302,Summit,Line: Heritage Corridor
-87.7033854,41.7491152,Wrightwood,Line: SouthWest Service
-87.7041605,41.7485349,Wrightwood,Line: SouthWest Service
-87.712875,41.7415025,Ashburn,Line: SouthWest Service
-87.71304,41.7415025,Ashburn,Line: SouthWest Service
-87.7130829,41.7413234,Ashburn,Line: SouthWest Service
-87.7132505,41.7413384,Ashburn,Line: SouthWest Service
-87.7141812,41.7406069,Ashburn,Line: SouthWest Service
-87.7140431,41.7405599,Ashburn,Line: SouthWest Service
-87.7490728,41.7193388,Oak Lawn,Line: SouthWest Service
-87.7483271,41.7196411,Oak Lawn,Line: SouthWest Service
-87.7498412,41.7191626,Oak Lawn,Line: SouthWest Service
-87.749235,41.7194119,Oak Lawn,Line: SouthWest Service
-87.748197,41.7198193,Oak Lawn,Line: SouthWest Service
-87.7479047,41.7198233,Oak Lawn,Line: SouthWest Service
-87.6291539,41.8310943,35th/Lou Jones,Line: Rock Island
-87.6297078,41.8310783,35th/Lou Jones,Line: Rock Island
-87.6293162,41.8326861,35th/Lou Jones,Line: Rock Island
-87.6395971,41.7507721,Auburn/Gresham,Line: Rock Island
-87.6390982,41.7507441,Auburn/Gresham,Line: Rock Island
-87.6447925,41.7362428,Gresham,Line: Rock Island
-87.6439905,41.73792,Gresham,Line: Rock Island
-87.6443687,41.737898,Gresham,Line: Rock Island
-87.6582652,41.7322727,Brainerd,Line: Rock Island
-87.6582532,41.7321786,Brainerd,Line: Rock Island
-87.6596399,41.7322667,Brainerd,Line: Rock Island
-87.6596439,41.7321466,Brainerd,Line: Rock Island
-87.6670723,41.7277929,91st/Beverly Hills,Line: Rock Island
-87.6674598,41.727941,91st/Beverly Hills,Line: Rock Island
-87.6674598,41.7213018,95th/Beverly Hills,Line: Rock Island
-87.6675846,41.7213018,95th/Beverly Hills,Line: Rock Island
-87.66726,41.7214299,95th/Beverly Hills,Line: Rock Island
-87.6673727,41.713826,99th/Beverly Hills,Line: Rock Island
-87.6672694,41.7137909,99th/Beverly Hills,Line: Rock Island
-87.6675121,41.7128779,99th/Beverly Hills,Line: Rock Island
-87.6675873,41.7121381,99th/Beverly Hills,Line: Rock Island
-87.6674438,41.7121381,99th/Beverly Hills,Line: Rock Island
-87.6689297,41.7065035,103rd/Beverly Hills,Line: Rock Island
-87.6688036,41.7065065,103rd/Beverly Hills,Line: Rock Island
-87.6688506,41.7059648,103rd/Beverly Hills,Line: Rock Island
-87.6690745,41.7059648,103rd/Beverly Hills,Line: Rock Island
-87.6691282,41.7048504,103rd/Beverly Hills,Line: Rock Island
-87.6689968,41.7048685,103rd/Beverly Hills,Line: Rock Island
-87.6698188,41.6991631,107th/Beverly Hills,Line: Rock Island
-87.6696941,41.6991651,107th/Beverly Hills,Line: Rock Island
-87.6697169,41.6987516,107th/Beverly Hills,Line: Rock Island
-87.6698242,41.6979285,107th/Beverly Hills,Line: Rock Island
-87.6705256,41.693263,111th/Morgan Park,Line: Rock Island
-87.6703915,41.6933211,111th/Morgan Park,Line: Rock Island
-87.6707429,41.6926431,111th/Morgan Park,Line: Rock Island
-87.6706758,41.6920472,111th/Morgan Park,Line: Rock Island
-87.6705511,41.6920523,111th/Morgan Park,Line: Rock Island
-87.671548900000019,41.6847453,115th/Morgan Park,Line: Rock Island
-87.6714537,41.6847453,115th/Morgan Park,Line: Rock Island
-87.6716615,41.6850227,115th/Morgan Park,Line: Rock Island
-87.6714228,41.6859532,115th/Morgan Park,Line: Rock Island
-87.6724809,41.6772512,119th,Line: Rock Island
-87.6723468,41.6772412,119th,Line: Rock Island
-87.6723978,41.67655,119th,Line: Rock Island
-87.6725882,41.6765641,119th,Line: Rock Island
-87.6724648,41.6762976,119th,Line: Rock Island
-87.6726392,41.675935,119th,Line: Rock Island
-87.6737,41.6700578,123rd,Line: Rock Island
-87.6750907,41.662587,Prairie St,Line: Rock Island
-87.67522750000002,41.6617945,Prairie St,Line: Rock Island
-87.6773089,41.6554411,Blue Island-Vermont,Line: Rock Island
-87.6771614,41.655411,Blue Island-Vermont,Line: Rock Island
-87.6768878,41.655423,Blue Island-Vermont,Line: Rock Island
-87.6777381,41.6546375,Blue Island-Vermont,Line: Rock Island
-87.6781163,41.6546475,Blue Island-Vermont,Line: Rock Island
-87.6783335,41.6546314,Blue Island-Vermont,Line: Rock Island
-87.656271,41.7050146,103rd,Line: Rock Island
-87.65609,41.7058797,103rd,Line: Rock Island
-87.6559009,41.7059738,103rd,Line: Rock Island
-87.6563421,41.7052119,103rd,Line: Rock Island
-87.6502629,41.7212257,95th-Longwood,Line: Rock Island
-87.6503862,41.7212307,95th-Longwood,Line: Rock Island
-87.6397258,41.878752,Union Station,Line:
-87.639522,41.878764,Union Station,Line:
-87.6386341,41.8791793,Union Station,Line:
-87.6386368,41.8781529,Union Station,Line:
-87.640737,41.8782068,Union Station,Line:
-87.6407665,41.8791494,Union Station,Line:
-87.6405117,41.8819692,Ogilvie Transportation Center,Line:
-87.6411447,41.88404,Ogilvie Transportation Center,Line:
-87.6400128,41.8840759,Ogilvie Transportation Center,Line:
-87.6403213,41.8831533,Ogilvie Transportation Center,Line:
-87.6326555,41.8753768,LaSalle Street,Line:
-87.6317999,41.8754368,LaSalle Street,Line:
-87.6246344,41.8840679,Millennium Station,Line:
-87.6247832,41.8843804,Millennium Station,Line:
-87.6247309,41.884676,Millennium Station,Line:
